Row,Column,Cell_Type,Reward
0,0,START,-1
0,1,FREE,-1
0,2,OBSTACLE,-10
0,3,OBSTACLE,-10
0,4,FREE,-1
0,5,FREE,-1
0,6,FREE,-1
0,7,FREE,-1
0,8,FREE,-1
0,9,FREE,-1
1,0,FREE,-1
1,1,FREE,-1
1,2,OBSTACLE,-10
1,3,FREE,-1
1,4,FREE,-1
1,5,FREE,-1
1,6,OBSTACLE,-10
1,7,OBSTACLE,-10
1,8,FREE,-1
1,9,FREE,-1
2,0,FREE,-1
2,1,FREE,-1
2,2,FREE,-1
2,3,FREE,-1
2,4,OBSTACLE,-10
2,5,FREE,-1
2,6,OBSTACLE,-10
2,7,OBSTACLE,-10
2,8,FREE,-1
2,9,FREE,-1
3,0,FREE,-1
3,1,OBSTACLE,-10
3,2,OBSTACLE,-10
3,3,FREE,-1
3,4,OBSTACLE,-10
3,5,FREE,-1
3,6,FREE,-1
3,7,FREE,-1
3,8,FREE,-1
3,9,FREE,-1
4,0,FREE,-1
4,1,OBSTACLE,-10
4,2,FREE,-1
4,3,FREE,-1
4,4,FREE,-1
4,5,FREE,-1
4,6,OBSTACLE,-10
4,7,OBSTACLE,-10
4,8,OBSTACLE,-10
4,9,FREE,-1
5,0,FREE,-1
5,1,FREE,-1
5,2,FREE,-1
5,3,OBSTACLE,-10
5,4,OBSTACLE,-10
5,5,FREE,-1
5,6,OBSTACLE,-10
5,7,FREE,-1
5,8,FREE,-1
5,9,FREE,-1
6,0,FREE,-1
6,1,OBSTACLE,-10
6,2,FREE,-1
6,3,OBSTACLE,-10
6,4,FREE,-1
6,5,FREE,-1
6,6,FREE,-1
6,7,FREE,-1
6,8,OBSTACLE,-10
6,9,FREE,-1
7,0,FREE,-1
7,1,OBSTACLE,-10
7,2,FREE,-1
7,3,FREE,-1
7,4,FREE,-1
7,5,OBSTACLE,-10
7,6,OBSTACLE,-10
7,7,FREE,-1
7,8,FREE,-1
7,9,FREE,-1
8,0,FREE,-1
8,1,FREE,-1
8,2,FREE,-1
8,3,OBSTACLE,-10
8,4,FREE,-1
8,5,OBSTACLE,-10
8,6,OBSTACLE,-10
8,7,FREE,-1
8,8,FREE,-1
8,9,FREE,-1
9,0,FREE,-1
9,1,FREE,-1
9,2,FREE,-1
9,3,OBSTACLE,-10
9,4,FREE,-1
9,5,FREE,-1
9,6,FREE,-1
9,7,FREE,-1
9,8,FREE,-1
9,9,GOAL,100
